date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:23	8523/8523	---M--	200	added ('OK')	image/jpeg	etag:%226146f3a1-214b%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar2.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar2.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:23	6302/6302	---M--	200	added ('OK')	image/jpeg	etag:%2261c8a96c-189e%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/posts/0.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/posts/0.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:23	3676/3676	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-e5c%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/animal.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/animal.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:24	1559/1559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-617%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bag-lady.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bag-lady.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:24	1583/1583	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-62f%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bag.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bag.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:24	2617/2617	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-a39%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/ball.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/ball.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:25	2187/2187	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-88b%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bar.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/bar.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:25	2615/2615	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-a37%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/book.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/book.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:25	2206/2206	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261cee940-89e%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/car.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/car.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:26	3513/3513	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-db9%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/check.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/check.svg	(from https://bootstrap-ecommerce.com/components.html)
